Year,Temp
1980,14.21
1981,14.25
1982,14.07
1983,14.25
1984,14.09
1985,14.06
1986,14.12
1987,14.24
1988,14.3
1989,14.18
1990,14.35
1991,14.32
1992,14.14
1993,14.17
1994,14.23
1995,14.38
1996,14.25
1997,14.39
1998,14.53
1999,14.31
2000,14.31
2001,14.45
2002,14.52
2003,14.53
2004,14.46
2005,14.59
2006,14.55
2007,14.54
2008,14.44
2009,14.57
2010,14.63
2011,14.51
2012,14.55
2013,14.58
2014,14.65
2015,14.81
2016,14.93
2017,14.84
2018,14.77
2019,14.89
2020,14.92
2021,14.77
2022,14.89
2023,15.09
2024,15.18
